Ejercicio,Mes,Nombre del punto de distribución,Tipo de asentamiento ,Denominación del asentamiento,Nombre de la vialidad,Número de vialidad (en su caso),Tipo de abastecimiento,Días ,Horarios,Contacto,Capacidad de la unidad ,Geopoint,Nota
2023,Octubre,Centro de Bienestar Familiar Burócratas municipales,Colonia,Burócratas Municipales,Avenida Alfonso Reyes,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-23,1000 litros,"25.6352203, -100.2990693",1 Contenedor
2023,Octubre,Centro de Bienestar Familiar  Valle del Mirador,Colonia,Valle del Mirador,Calle Paseo Alicia,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-19,1000 litros,"25.639017498380895, -100.30948000096342",1 Contenedor
2023,Octubre,Centro de Bienestar Familiar Tierra y Libertad,Colonia,Tierra y Libertad,Calle Liga Femenil,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-71-59,1000 litros,"25.741158636659847, -100.3381042670378",2 Contenedores
2023,Octubre,Centro de Bienestar Familiar Nueva Morelos,Colonia,Nueva Morelos,Calle Marea Alta,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-53,1000 litros,"25.718641664223934, -100.34674910367468",1 Contenedor
2023,Octubre,Centro de Bienestar Familiar Antonio I. Villarreal,Colonia,Antonio I. Villarreal,Calle Veteranos de la Revolución,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-71-31,1000 litros,"25.70494909056859, -100.3556544251508",1 Contenedor
2023,Octubre,Centro de Bienestar Familiar Valle de Infonavit,Colonia,Valle de Infonavit,Calle Comisión Tripartita,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-17,1000 litros,"25.733042427622237, -100.3813565662574",2 Contenedores
2023,Octubre,Centro de Bienestar Familiar Fomerrey 45,Colonia,Fomerrey 45,Calle Paseo de la Cima,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-85,1000 litros,"25.591861, -100.245479",1 Contenedor
2023,Octubre,Estancia Infantil Laura Barragan,Colonia,Lomas Modelo,Calle Tenayuca,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",7:00 a.m. a 6:00 p.m.,81-51-02-73-51,1000 litros,"25.740521651325743, -100.36150504403567",1 Contenedor
….,Octubre,Defensoria Municipal Zona Centro,Colonia,Treviño,Calle Progreso,400,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-72-82,1000 litros,"25.691325, -100.308678",1 Contenedor
2023,Octubre,Defensoria Municipal Zona Norte,Colonia,Provileón,Calle Netzahualpilli,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-69-93,1000 litros,"25.760578941687836, -100.36460777421931",1 Contenedor
2023,Octubre,Casa Club del Adulto Mayor Lomas Modelo,Colonia,Lomas Modelo,Calle Tenayuca,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-72-56,1000 litros,"25.74040251877856, -100.36133756827368",1 Contenedor
2023,Octubre,Clinica de Atención Integral al Autismo,Colonia,Pio X,San José,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-19-82-90-03,1000 litros,"25.6600288, -100.3313338",1 Contenedor
2023,Octubre,LUDOTECA INFANTIL  BURÓCRATAS MUNICIPALES,Colonia,Burócratas Municipales.,Ave. Alfonso Reyes y 18 de Marzo,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,82-81-21-09-27,1000 litros,"25.704949251959427, -100.35631547871262",1 Contenedores
2023,Octubre,Lago Superior SN Plaza,Colonia,Lagos del Bosque,Lago Superior,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.601991550905577, -100.25887182883632",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado
2023,Octubre,Parque Estrellas,Colonia,Contry,Vía Láctea,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.637420218543888, -100.27943815767038",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado
2023,Octubre,Las Caleras,Colonia,Catujanes,Las Caleras,91-170,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.570125634090367, -100.23184488267727",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado
2023,Octubre,Plaza Rincón del Valle,Colonia,Sierra Alta,Av Sierra Alta,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.57659658374205, -100.26378852883519",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado
2023,Octubre,Gran Parque Satelite,Colonia,Satélite,Cd Satélite,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.604134062360774, -100.26991669999998",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado
2023,Octubre,Intersección Calle Mauricio y Madagascar,Colonia,Laderas del Mirador,Mauricio y Madagascar,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.629825440526343, -100.30634904476311",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado
2023,Octubre,Parque Pedregal de la Silla,Colonia,Pedregal,Pedregal de la Cañada Sur,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.60346736233381, -100.2568503711648",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado
2023,Octubre,Intersección Jupiter y Palmar,Colonia,Alianza,C. Júpiter,400,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.775104507900362, -100.41910222883519",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado
2023,Octubre,Intersección Lazaro Garza Ayala y Bernabe González,Colonia,4 de diciembre,C. Lázaro Garza Áyala,2145,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.740480667891184, -100.33415565767038",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado
2023,Octubre,Terreno Calle Cedro y Alamo,Colonia,Real de Cumbres,Cedro,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.750707704921904, -100.40140597116482",Instalación por parte de la Secretaría de Servicios Públicos
2023,Octubre,Plaza Santa Rosario,Colonia,ALIANZA,Maderereros,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.77673353829248, -100.40463685088923",Instalación por parte de la Secretaría de Servicios Públicos
2023,Octubre,Cima del cerro,Colonia,Canteras,Prolongación Coahuila,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.644999994357985, -100.31319976538731",Instalación por parte de la Secretaría de Servicios Públicos
2024,Febrero,Centro de Bienestar Familiar  Valle del Mirador,Colonia,Valle del Mirador,Calle Paseo Alicia,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-19,1000 litros,"25.639017498380895, -100.30948000096342",1 Contenedor
2024,Febrero,Centro de Bienestar Familiar Tierra y Libertad,Colonia,Tierra y Libertad,Calle Liga Femenil,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-71-59,1000 litros,"25.741158636659847, -100.3381042670378",2 Contenedores
2024,Febrero,Centro de Bienestar Familiar Monterrey 400,Colonia,Tierra y Libertad,Avenida Rodrigo Gómez,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-70-10,1000 litros,"25.740069707359883, -100.34302032644828",2 Contenedores
2024,Febrero,Centro para el Desarrollo del Talento,Colonia,El Porvenir,Calle Didimas,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-92,1000 litros,"25.76727645211472, -100.36727521852794",1 Contenedor
2024,Febrero,Centro de Bienestar Familiar Ferrocarrilera,Colonia,Ferrocarrilera,Calle Carlos Campacos,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-71-34,1000 litros,"25.72508132413851, -100.33581306023501",1 Contenedor
2024,Febrero,Centro de Bienestar Familiar Nueva Morelos,Colonia,Nueva Morelos,Calle Marea Alta,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-53,1000 litros,"25.718641664223934, -100.34674910367468",1 Contenedor
2024,Febrero,Centro de Bienestar Familiar Antonio I. Villarreal,Colonia,Antonio I. Villarreal,Calle Veteranos de la Revolución,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-71-31,1000 litros,"25.70494909056859, -100.3556544251508",1 Contenedor
2024,Febrero,Centro PAPTI,Colonia,Treviño,CalleProgreso,400,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-71-63,1000 litros,"25.691238211454028, -100.30858193445506",1 Contenedor
2024,Febrero,Defensoria Municipal Zona Centro,Colonia,Treviño,Calle Progreso,400,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-72-82,1000 litros,"25.691325, -100.308678",1 Contenedor
2024,Febrero,Casa Club del Adulto Mayor Lomas Modelo,Colonia,Lomas Modelo,Calle Tenayuca,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-72-56,1000 litros,"25.74040251877856, -100.36133756827368",1 Contenedor
2024,Febrero,Guarderia Especial,Colonia,Antonio I. Villarreal,Calle 1913,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-74-63,1000 litros,"25.704949251959427, -100.35631547871262",2 Contenedores
2024,Febrero,Centro de Bienestar Familiar Colonia Heriberto Jara,Colonia,Independencia,Baja California,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-17-83-90-90,1000 litros,"25.6536853, -100.3091658",1 Contenedor
2024,Febrero,Lago Superior SN Plaza,Colonia,Lagos del Bosque,Lago Superior,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.602083467664233, -100.25886109999999",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2024,Febrero,Rotonda Av. La Rioja,Colonia,La Rioja Sector Leiva,Foncea 100,100,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.581055687223706, -100.2454274288349",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2024,Febrero,Las Caleras,Colonia,Catujanes,Las Caleras,91-170,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.570106278030906, -100.23184488273101",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2024,Febrero,Plaza Rincón del Valle,Colonia,Sierra Alta,Av Sierra Alta,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.576625616256184, -100.26379925766977",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2024,Febrero,Parque Río Roma,Colonia,Roma,Vesubio,167-S CASETA SPE,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.65174637855849, -100.2950556",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2024,Febrero,Terreno Calle Mauricio,Colonia,Laderas del Mirador,Mauricio,4428,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.63091786380847, -100.30725064723909",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2024,Febrero,Intersección Lazaro Garza Ayala y Bernabe González,Colonia,4 de diciembre,C. Lázaro Garza Áyala,2145,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.740480667891184, -100.33414492883489",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2024,Febrero,Plaza Santa Rosario,Colonia,ALIANZA,Maderereros,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.776743138616126, -100.40464763252022",Instalación por parte de la Secretaría de Servicios Públicos. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2024,Febrero,Parque Chimalpopoca,Colonia,Barrio del Parque,P. Chimalpopoca,135,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.781452855580703, -100.39791807485038",Instalación por parte de la Secretaría de Servicios Públicos. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2024,Febrero,Parque Residencial Mision Licoln 2,Colonia,Misión Lincoln,Jaguar,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.74362324944663, -100.37259880368615",Instalación por parte de la Secretaría de Servicios Públicos. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Septiembre,Centro de Bienestar Familiar Monterrey 400,Colonia,Tierra y Libertad,Avenida Rodrigo Gómez,Sin número,Contenedor,"lunes, martes, miércoles, jueves y viernes",8:00 a.m. a 5:00 p.m.,81-51-02-70-10,1000 litros,"25.740069707359883, -100.34302032644828",2 Contenedores
2023,Septiembre,Centro de Bienestar Familiar Francisco Zarco,Colonia,Topo Chico,Calle Salinas,Sin número,Contenedor,"lunes, martes, miércoles, jueves y viernes",8:00 a.m. a 5:00 p.m.,81-51-02-71-33,1000 litros,"25.73511379351004, -100.33152897391555",2 Contenedores
2023,Septiembre,Centro de Bienestar Familiar Fomerrey 45,Colonia,Fomerrey 45,Calle Paseo de la Cima,Sin número,Contenedor,"lunes, martes, miércoles, jueves y viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-85,1000 litros,"25.591861, -100.245479",1 Contenedor
2023,Septiembre,Defensoria Municipal Zona Centro,Colonia,Treviño,Calle Progreso,400,Contenedor,"lunes, martes, miércoles, jueves y viernes",8:00 a.m. a 5:00 p.m.,81-51-02-72-82,1000 litros,"25.691325, -100.308678",1 Contenedor
2023,Septiembre,Estancia Infantil Laura Elena Arce Cavazos,Colonia,Fomerrey 114,Calle Basamento,Sin número,Contenedor,"lunes, martes, miércoles, jueves y viernes",7:00 a.m. a 6:00 p.m.,81-51-02-71-60,1000 litros,"25.766171535168326, -100.38001636316038",1 Contenedor
2023,Septiembre,Defensoria Municipal Zona Norte,Colonia,Provileón,Calle Netzahualpilli,Sin número,Contenedor,"lunes, martes, miércoles, jueves y viernes",8:00 a.m. a 5:00 p.m.,81-51-02-69-93,1000 litros,"25.760578941687836, -100.36460777421931",1 Contenedor
2023,Septiembre,Ciudad del Adulto Mayor,Colonia,Condesa,Avenida Camino al Diente,Sin número,Contenedor,"lunes, martes, miércoles, jueves y viernes",8:00 a.m. a 5:00 p.m.,81-51-02-74-72,1000 litros,"25.617715, -100.270741",1 Contenedor
2023,Septiembre,Asilo Hogar Nueva Esperanza,Colonia,Garza Nieto,Calle Prolongación,2900,Contenedor,"lunes, martes, miércoles, jueves, viernes, sábado y domingo",8:00 a.m. a 7:59 a.m.,81-51-02-71-62,1000 litros,"25.703240368431477, -100.33103551401209",2 Contenedores
2023,Septiembre,Guarderia Especial,Colonia,Antonio I. Villarreal,Calle 1913,Sin número,Contenedor,"lunes, martes, miércoles, jueves y viernes",8:00 a.m. a 5:00 p.m.,81-51-02-74-63,1000 litros,"25.704949251959427, -100.35631547871262",2 Contenedores
2023,Septiembre,Centro Educativo y de Desarrollo Integral (CEDI),Colonia,Antonio I. Villarreal,Veteranos de la revolucion,Sin número,Contenedor,"lunes, martes, miércoles, jueves y viernes",8:00 a.m. a 5:00 p.m.,81-51-02-74-63,1000 litros,"25.704949251959427, -100.35631547871262",1 Contenedores
2023,Septiembre,Ludoteca Infantil  Burócratas Municipales,Colonia,Burócratas Municipales.,Ave. Alfonso Reyes y 18 de Marzo,Sin número,Contenedor,"lunes, martes, miércoles, jueves y viernes",8:00 a.m. a 5:00 p.m.,82-81-21-09-27,1000 litros,"25.704949251959427, -100.35631547871262",1 Contenedores
2023,Septiembre,Lago Superior SN Plaza,Colonia,Lagos del Bosque,Lago Superior,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.601991550905577, -100.25887182883632",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Septiembre,Plaza Rincón del Valle,Colonia,Sierra Alta,Av Sierra Alta,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.57659658374205, -100.26378852883519",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Septiembre,Parque Río Roma,Colonia,Roma,Vesubio,167-S CASETA SPE,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.65170769286256, -100.29507705767038",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Septiembre,Terreno Calle Mauricio,Colonia,Laderas del Mirador,Mauricio,4428,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.630901540433936, -100.3072499766868",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
